Name,Longitude,Latitude,Max Temperature,Humidity,Cloudiness,Wind,Country
Atar,-13.05,20.52,75.812,29,100,5.48,MR
Atuona,-139.03,-9.8,79.772,71,5,7.76,PF
Ribeira Grande,-28.7,38.52,66.2,52,20,2.1,PT
Busselton,115.35,-33.64,60.998,58,0,1.91,AU
Itoman,127.67,26.12,73.4,64,75,2.1,JP
Royal Tunbridge Wells,0.27,51.14,44.996,86,75,1,GB
Aswan,32.9,24.09,69.584,31,0,4.79,EG
Avarua,-159.78,-21.21,75.2,88,0,4.1,CK
Grand Gaube,57.66,-20.01,75.992,78,40,5.7,MU
Tabuk,121.44,17.41,73.274,92,89,3.25,PH
Cayenne,-52.33,4.94,87.8,62,3,4.6,GF
Salina,-97.61,38.84,60.998,35,1,8.7,US
Bubaque,-15.83,11.28,82.958,71,100,3.33,GW
Cetraro,15.94,39.52,64.994,82,30,1.79,IT
Ahuimanu,-157.84,21.44,78.8,83,75,1.8,US
Longyan,117.03,25.1,53.618,94,1,0.9,CN
Saskylakh,114.09,71.97,-8.734,97,100,2.51,RU
Albany,-73.75,42.65,33.998,39,1,4.1,US
Rikitea,-134.97,-23.12,73.706,84,55,7.65,PF
Te Anau,167.72,-45.41,43.25,84,100,2.86,NZ
Kapaa,-159.32,22.08,77,88,1,1.5,US
Saint-Philippe,-73.48,45.36,24.998,41,1,1.5,CA
New Norfolk,147.06,-42.78,46.4,98,75,3.1,AU
Mount Isa,139.49,-20.73,78.8,12,11,4.1,AU
Kindu,25.92,-2.95,71.978,96,100,1,CD
East London,27.91,-33.02,68,88,40,1,ZA
Provideniya,-173.23,64.42,18.914,93,100,5.35,RU
Bossangoa,17.45,6.5,78.62,45,100,0.62,CF
Bluff,149.07,-23.58,70.862,74,27,1.85,AU
Khatanga,102.47,71.98,-10.876,88,92,1.39,RU
Eyl,49.82,7.98,79.736,80,2,10.36,SO
Port Alfred,26.89,-33.59,66.002,89,52,0.45,ZA
Chuy,-53.46,-33.69,79.214,53,6,3.38,UY
Bambous Virieux,57.76,-20.34,75.992,78,40,5.7,MU
Yellowknife,-114.38,62.45,1.004,77,75,1,CA
Upernavik,-56.15,72.79,19.76,63,100,5.9,GL
Punta Arenas,-70.91,-53.16,59,51,100,5.7,CL
Cape Town,18.42,-33.93,62.996,72,20,10.8,ZA
Ushuaia,-68.31,-54.81,57.2,54,40,8.7,AR
Hobart,147.33,-42.88,46.4,72,75,3.1,AU
